Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-01-08,Breakfast,751.0,19.0,6.0,2.0,6.0,0.0,559.0,1884.0,498.0,52.7,0.0,2.0,82.0,13.0,0.0,6.0,26.7
2018-01-08,Lunch,971.2,39.8,15.0,1.0,2.0,0.0,237.9,1266.2,358.0,68.0,3.2,2.3,73.7,1.0,0.0,2.0,18.7
2018-01-09,Breakfast,1087.2,55.0,20.0,0.0,0.0,0.0,188.9,3323.2,0.0,76.3,7.4,19.4,74.2,0.0,0.0,0.0,2.0
2018-01-09,Lunch,1400.0,59.0,20.0,2.0,7.0,0.0,165.0,1480.0,430.0,104.0,3.0,28.0,50.0,20.0,12.0,74.0,31.0
2018-01-15,Breakfast,514.8,15.3,6.1,0.1,0.0,0.0,20.0,801.0,361.2,73.0,8.1,17.3,16.1,1.3,14.6,0.5,1.5
2018-01-15,Lunch,733.3,34.5,13.5,1.3,14.7,0.0,207.0,1288.6,693.8,25.7,5.2,20.4,80.3,17.5,120.6,22.9,26.9
2018-01-16,Breakfast,530.0,35.0,13.0,0.0,2.5,0.0,30.0,180.0,0.0,7.0,0.0,4.0,47.0,6.0,0.0,20.0,0.0
2018-01-16,Lunch,693.2,22.8,11.3,0.2,5.5,0.0,57.6,285.2,41.4,77.7,0.0,0.0,48.1,12.7,0.4,33.3,0.1
2018-01-17,Breakfast,728.0,42.7,12.2,3.8,6.2,0.0,370.0,2136.0,874.0,23.6,3.8,9.2,64.0,12.0,16.0,16.0,28.0
2018-01-17,Lunch,1371.0,34.8,5.4,0.0,0.0,0.0,0.0,1565.0,450.0,171.9,8.9,33.2,65.3,8.0,131.0,5.0,3.0
2018-01-18,Breakfast,62.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,3.1,12.2,1.2,6.0,116.0,5.0,1.0
2018-01-18,Lunch,470.0,5.0,0.0,0.0,0.0,0.0,90.0,393.0,318.0,39.0,5.0,0.0,52.0,0.0,0.0,3.0,15.0
2018-01-19,Breakfast,620.7,11.7,2.1,1.9,3.1,0.0,185.0,1068.0,437.0,83.8,1.9,2.6,48.7,6.0,8.0,8.0,14.0
2018-01-19,Lunch,711.0,35.1,11.7,3.1,13.0,0.0,460.0,756.5,596.0,39.2,2.5,0.0,55.3,21.0,0.0,38.5,24.5
2018-01-20,Breakfast,490.0,9.0,4.5,0.0,0.0,0.0,90.0,940.0,730.0,56.7,4.0,3.0,49.0,20.0,29.0,2.0,26.7
2018-01-20,Lunch,813.2,27.8,14.3,0.2,5.5,0.0,57.6,285.2,41.4,89.7,1.0,12.0,53.1,12.7,0.4,33.3,0.1
2018-01-21,Breakfast,372.5,25.1,8.0,3.3,10.9,0.0,382.6,305.2,478.4,19.4,0.0,0.0,19.7,15.7,0.4,10.3,17.1
2018-01-21,Lunch,1125.0,41.4,9.4,5.1,10.4,0.0,165.0,2349.0,273.0,105.1,4.0,35.4,61.2,2.0,0.0,4.0,8.0
2018-01-22,Breakfast,660.0,47.0,16.0,0.0,0.0,0.0,74.0,1025.0,0.0,40.0,2.0,4.0,21.0,0.0,0.0,0.0,0.0
2018-01-22,Lunch,543.6,10.8,4.7,0.3,2.2,0.0,15.8,19.0,51.8,76.5,0.0,0.1,37.8,4.7,0.5,4.2,0.1
2018-01-23,Breakfast,595.0,42.5,15.6,6.2,15.2,0.0,170.0,875.0,275.0,1.5,0.0,0.0,50.5,9.0,0.0,30.0,10.0
2018-01-23,Lunch,1035.4,47.8,14.8,5.4,11.1,0.0,285.0,935.3,931.4,91.0,1.8,2.9,64.7,7.7,144.0,10.9,29.1
